STATION,POINT ID,DATE,PH,NA,NO3 and NO2,PO4,NH4,SO4,NH4
A2R001Q01,90240,12/01/1999,8.6,36.2,1.424,0.038,0.02,0.6223,0.0011
A2R001Q01,90240,12/01/1999,8.63,36.8,1.273,0.041,0.02,0.6316,0.0011
A2R001Q01,90240,12/01/1999,8.73,36.8,1.276,0.014,0.02,0.6327,0.0011
A2R001Q01,90240,12/01/1999,8.87,37.6,1.438,0.041,0.02,0.6108,0.0011
A2R001Q01,90240,12/01/1999,8.57,36.5,1.484,0.035,0.02,0.6139,0.0011
A2R001Q01,90240,12/01/1999,8.37,38.3,1.1,0.193,0.695,0.6191,0.0386
A2R001Q01,90240,12/01/1999,8.24,36.1,1.809,0.157,0.425,0.5942,0.0236
A2R001Q01,90240,12/01/1999,8.54,39.4,0.36,0.262,0.657,0.5911,0.0365
A2R001Q01,90240,02/02/1999,9.9,37.1,0.321,0.027,0.106,0.6087,0.0059
A2R001Q01,90240,02/02/1999,9.59,36.9,0.474,0.035,0.02,0.5484,0.0011
A2R001Q01,90240,02/02/1999,9.77,36.5,0.389,0.032,0.02,0.5775,0.0011
A2R001Q01,90240,02/02/1999,8.73,37.2,1.012,0.025,0.046,0.5671,0.0026
A2R001Q01,90240,02/02/1999,8.11,36.5,1.226,0.023,0.02,0.5515,0.0011
A2R001Q01,90240,02/02/1999,8.33,38.2,0.385,0.038,0.02,0.5578,0.0011
A2R001Q01,90240,02/02/1999,8.22,39.8,0.02,0.045,0.02,0.4984,0.0011
A2R001Q01,90240,10/02/1999,9.73,38.9,0.36,0.039,0.02,0.6223,0.0011
A2R001Q01,90240,10/02/1999,8.98,38,0.406,0.036,0.02,0.6368,0.0011
A2R001Q01,90240,10/02/1999,9.54,38,0.374,0.027,0.02,0.6212,0.0011
A2R001Q01,90240,10/02/1999,9.62,38.7,0.416,0.033,0.02,0.6223,0.0011
A2R001Q01,90240,10/02/1999,8.75,37.6,0.662,0.029,0.02,0.6077,0.0011
A2R001Q01,90240,10/02/1999,8.22,38.4,1.615,0.094,0.465,0.5453,0.0258
A2R001Q01,90240,10/02/1999,8.28,39.6,0.386,0.198,1.088,0.5682,0.0604
A2R001Q01,90240,10/02/1999,7.61,40.8,0.02,0.185,0.093,0.6056,0.0052
A2R001Q01,90240,26/02/1999,10.03,36.8,0.02,0.033,0.02,0.6701,0.0011
A2R001Q01,90240,26/02/1999,8.38,38.2,0.144,0.026,0.02,0.6639,0.0011
A2R001Q01,90240,26/02/1999,9.97,38.6,0.02,0.051,0.02,0.6972,0.0011
A2R001Q01,90240,26/02/1999,9.57,38.9,0.02,0.032,0.02,0.6483,0.0011
A2R001Q01,90240,26/02/1999,9.19,36.8,0.367,0.017,0.02,0.5869,0.0011
A2R001Q01,90240,26/02/1999,8.28,37.9,1.033,0.03,0.467,0.6139,0.0259
A2R001Q01,90240,26/02/1999,8.29,37.2,0.263,0.145,1.413,0.5515,0.0785
A2R001Q01,90240,26/02/1999,8.46,37.5,0.388,0.057,0.177,0.4932,0.0098
A2R001Q01,90240,10/03/1999,9.44,38,0.02,0.025,0.054,0.5994,0.003
A2R001Q01,90240,10/03/1999,9.2,38.2,0.02,0.027,0.02,0.5806,0.0011
A2R001Q01,90240,10/03/1999,9.36,39.1,0.049,0.029,0.02,0.5952,0.0011
A2R001Q01,90240,10/03/1999,9.37,38.4,0.02,0.023,0.02,0.5869,0.0011
A2R001Q01,90240,10/03/1999,9.26,39.6,0.152,0.024,0.05,0.6004,0.0028
A2R001Q01,90240,10/03/1999,8.36,38.2,0.835,0.054,0.541,0.5682,0.0301
A2R001Q01,90240,10/03/1999,8.29,38.1,0.1,0.097,1.367,0.5463,0.0759
A2R001Q01,90240,10/03/1999,8,38.6,1.415,0.339,1.758,0.5068,0.0977
A2R001Q01,90240,25/03/1999,9.324,37.379,0.02,0.04,0.02,0.6167,0.0011
A2R001Q01,90240,25/03/1999,9.249,36.33,0.083,0.047,0.02,0.6299,0.0011
A2R001Q01,90240,25/03/1999,9.184,37.139,0.02,0.034,0.02,0.6161,0.0011
A2R001Q01,90240,25/03/1999,9.212,37.479,0.043,0.033,0.02,0.658,0.0011
A2R001Q01,90240,25/03/1999,8.431,36.909,0.095,0.034,0.991,0.6093,0.0551
A2R001Q01,90240,25/03/1999,8.175,38.687,1.752,0.037,0.02,0.5893,0.0011
A2R001Q01,90240,25/03/1999,8.212,36.502,0.384,0.035,1.326,0.5596,0.0737
A2R001Q01,90240,25/03/1999,8.12,36.534,0.02,0.042,0.069,0.4386,0.0038
A2R001Q01,90240,07/04/1999,8.874,37.518,0.066,0.054,0.378,0.6482,0.021
A2R001Q01,90240,07/04/1999,8.134,38.344,0.02,0.04,0.043,0.6736,0.0024
A2R001Q01,90240,07/04/1999,8.417,38.2,0.02,0.046,1.061,0.6531,0.0589
A2R001Q01,90240,07/04/1999,9.305,37.829,0.054,0.045,0.02,0.6587,0.0011
A2R001Q01,90240,07/04/1999,8.895,38.128,0.117,0.043,0.074,0.6408,0.0041
A2R001Q01,90240,07/04/1999,8.175,37.997,0.577,0.055,0.204,0.597,0.0113
A2R001Q01,90240,07/04/1999,8.308,38.13,0.462,0.035,0.07,0.5604,0.0039
A2R001Q01,90240,07/04/1999,8.696,37.475,0.02,0.44,3.457,0.4397,0.1921
A2R001Q01,90240,21/04/1999,8.283,40.011,0.62,0.033,0.02,0.6087,0.0011
A2R001Q01,90240,21/04/1999,8.239,40.174,0.631,0.037,0.02,0.6164,0.0011
A2R001Q01,90240,21/04/1999,8.36,39.38,0.625,0.035,0.02,0.6185,0.0011
A2R001Q01,90240,21/04/1999,8.31,39.718,0.632,0.033,0.065,0.613,0.0036
A2R001Q01,90240,21/04/1999,8.307,39.405,0.626,0.039,0.071,0.6097,0.0039
A2R001Q01,90240,21/04/1999,8.364,39.211,0.623,0.035,0.048,0.6151,0.0027
A2R001Q01,90240,21/04/1999,8.291,39.138,0.67,0.04,0.02,0.6209,0.0011
A2R001Q01,90240,21/04/1999,8.182,39.903,0.285,0.285,2.242,0.5401,0.1246
A2R001Q01,90240,04/05/1999,8.26,39.3,0.883,0.018,0.02,0.5484,0.0011
A2R001Q01,90240,04/05/1999,8.32,40.6,0.739,0.018,0.02,0.5963,0.0011
A2R001Q01,90240,04/05/1999,8.21,39.4,0.88,0.024,0.02,0.5349,0.0011
