Year,Month,Day,Rain,Tmax,Tmin,Height,Predicted_Growth
2015,1,1,2.0,29.2,17.3,1170,0.2747493502024747
2015,1,22,0.6,34.6,17.4,1170,0.2710923727940567
2015,1,23,0.2,33.6,16.1,1170,0.25658677958848025
2015,1,24,0.0,34.3,19.4,1170,0.2972250564271654
2015,1,25,0.6,36.3,19.0,1170,0.2586940112251696
2015,1,26,0.4,33.8,19.6,1170,0.30570050840004453
2015,1,27,2.0,34.7,21.4,1170,0.32236127110839824
2015,1,28,1.6,25.0,19.6,1170,0.21856827677277166
2015,1,29,1.0,31.9,17.3,1170,0.2972522598078991
2015,1,30,0.0,31.6,19.3,1170,0.3189051976786947
2015,1,31,1.2,32.8,19.9,1170,0.3271160168612947
2015,2,1,1.2,34.5,19.0,1170,0.29319491515680335
2015,2,2,0.2,33.7,18.5,1170,0.2982870620538745
2015,2,3,0.0,35.4,13.2,1170,0.21148186435634725
2015,2,4,2.0,36.6,16.4,1170,0.21205274005556593
2015,2,5,0.0,36.0,16.7,1170,0.22674353101987527
2015,2,6,0.0,36.9,15.9,1170,0.2017525988134527
2015,2,7,0.6,37.1,13.3,1170,0.18598259882286924
2015,2,8,0.2,35.7,16.4,1170,0.22159771182785928
2015,2,9,4.0,35.6,17.4,1170,0.2525094066861376
2015,2,10,4.6,37.5,18.0,1170,0.2505866947641165
2015,2,11,1.0,38.5,19.4,1170,0.24893313546003676
2015,2,12,0.4,33.9,21.0,1170,0.3398130507157108
2015,2,13,7.8,35.0,19.1,1170,0.3093604235050592
2015,2,14,0.0,34.0,17.9,1170,0.31528771163011954
2015,2,15,0.0,32.9,13.6,1170,0.2879850562576742
2015,2,16,17.2,30.9,18.8,1170,0.37577121428575244
2015,2,17,0.0,29.8,15.6,1170,0.3060096324136317
2015,2,18,0.0,33.2,17.5,1170,0.340940931862731
2015,2,19,0.0,34.5,15.6,1170,0.299355677625044
2015,2,20,0.0,36.0,18.3,1170,0.28903997152276417
2015,2,21,0.0,30.7,18.2,1170,0.32678310711462727
2015,2,22,0.0,35.1,17.7,1170,0.2967554799934304
2015,2,23,0.0,31.8,19.5,1170,0.31292799434504215
2015,2,24,5.4,32.7,16.9,1170,0.2813849716875467
2015,2,25,0.2,30.3,15.8,1170,0.25186610161974504
2015,2,27,0.0,30.5,18.1,1170,0.28978725981260717
2015,2,28,0.0,29.8,16.1,1170,0.24771844625671618
2015,3,1,5.6,31.1,15.7,1170,0.27630053657596276
2015,3,2,0.0,27.0,15.9,1170,0.2194957060693235
2015,3,3,0.0,28.4,15.9,1170,0.23972316369245183
2015,3,4,0.0,31.7,12.1,1170,0.2624144349515092
2015,3,5,0.0,34.5,13.1,1170,0.2288632202702767
2015,3,6,0.0,33.4,18.8,1170,0.3027320903192465
2015,3,7,0.0,30.7,16.3,1170,0.2655112993690615
2015,3,8,0.0,32.5,15.8,1170,0.2546088983049253
2015,3,9,0.0,31.2,17.2,1170,0.26875257061870295
2015,3,10,0.0,33.3,13.7,1170,0.2309225423721628
2015,3,11,0.0,33.5,14.1,1170,0.22813898304925118
2015,3,12,0.0,30.6,19.5,1170,0.3056110451831634
2015,3,13,0.2,33.3,18.3,1170,0.2818374858696682
2015,3,14,7.2,32.8,18.0,1170,0.3051739264525948
2015,3,15,8.2,33.0,18.0,1170,0.32495906758642173
2015,3,16,0.0,32.3,17.3,1170,0.3236176269093335
2015,3,17,0.0,33.6,15.1,1170,0.2749342370797819
2015,3,18,8.2,32.1,17.5,1170,0.34641830476978214
2015,3,19,1.2,31.6,17.6,1170,0.34541547989455984
2015,3,20,0.2,31.6,16.3,1170,0.33126621435637327
2015,3,21,9.6,31.1,18.0,1170,0.35766367195596205
2015,3,22,5.6,26.9,17.9,1170,0.2820490109709318
2015,3,23,0.0,30.8,17.2,1170,0.3366348584236116
2015,3,24,2.2,30.6,18.3,1170,0.35349830472740895
2015,3,25,7.8,26.9,17.9,1170,0.28931536688015325
2015,3,26,4.8,29.3,17.5,1170,0.33696590355969425
2015,3,27,45.0,31.9,15.6,1170,0.46849268261615956
2015,3,28,0.0,27.6,14.0,1170,0.3688080782701595
2015,3,29,0.2,28.8,15.3,1170,0.383446016145664
2015,3,30,0.0,28.2,13.2,1170,0.37232163761661174
2015,3,31,0.0,26.0,16.1,1170,0.3393035302995359
2015,4,1,0.0,30.2,15.5,1170,0.3757266659902699
2015,4,2,0.0,30.6,14.8,1170,0.35321127059521523
2015,4,3,0.0,29.2,16.1,1170,0.22194056496374487
2015,4,4,0.0,27.0,16.7,1170,0.2008609321922981
2015,4,5,0.0,28.8,14.2,1170,0.20253124293718824
2015,4,6,2.8,30.1,11.4,1170,0.22962135589509722
2015,4,7,25.0,25.3,15.3,1170,0.23250073408987437
2015,4,8,2.0,26.0,15.5,1170,0.2532501973397117
2015,4,9,0.0,26.5,12.4,1170,0.2547515532724736
2015,4,10,0.0,24.2,12.1,1170,0.2189013272860344
2015,4,11,0.0,26.4,11.0,1170,0.2492775702326383
2015,4,12,0.0,29.0,13.7,1170,0.29025324818724946
2015,4,13,0.0,28.6,11.3,1170,0.2791241239288412
2015,4,14,0.0,29.0,9.0,1170,0.21075570618702588
2015,4,15,0.0,28.9,11.9,1170,0.20365759886994975
2015,4,16,0.0,29.2,7.6,1170,0.20834909604482513
2015,4,17,0.0,27.0,10.5,1170,0.17500000000000032
2015,4,18,2.6,21.5,10.4,1170,0.10734463273378239
2015,4,19,0.0,23.6,13.4,1170,0.13293638414634465
2015,4,20,0.2,25.7,11.7,1170,0.16158203386854034
2015,4,21,0.0,29.2,9.7,1170,0.2155846609803217
2015,4,22,0.0,26.1,15.0,1170,0.17096960448253498
2015,4,23,0.0,27.3,14.2,1170,0.1868975988369933
2015,4,24,0.0,25.1,13.6,1170,0.15289175138431363
2015,4,25,0.2,29.0,13.6,1170,0.20612254236745486
2015,4,26,0.0,29.5,10.6,1170,0.21337960451549148
2015,4,27,0.0,29.8,9.2,1170,0.21743132768151455
2015,4,28,0.0,29.8,9.3,1170,0.21745197739900207
2015,4,29,0.0,29.9,9.2,1170,0.21893347457387724
2015,4,30,0.0,28.4,9.8,1170,0.19638418078915187
2015,5,1,0.0,27.2,4.6,1170,0.17893765536302916
2015,5,2,0.0,26.7,3.5,1170,0.17066500000000023
2015,5,3,0.0,28.3,5.4,1170,0.19450000000000006
2015,5,4,0.0,28.8,4.8,1170,0.20210500000000026
2015,5,5,0.0,28.4,6.4,1170,0.19605064971748767
2015,5,6,0.0,30.4,7.2,1170,0.22595499999999955
2015,5,7,0.0,26.5,6.9,1170,0.16757500000000033
2015,5,8,0.0,25.1,12.9,1170,0.14695488700442594
2015,5,9,0.0,26.4,9.3,1170,0.16610539547980063
2015,5,10,0.0,26.5,7.9,1170,0.16762389830492544
2015,5,11,0.0,25.7,10.3,1170,0.15564319208965066
2015,5,12,0.0,25.6,8.7,1170,0.15398519773990013
2015,5,13,0.0,26.4,9.0,1170,0.16610539547980063
2015,5,14,0.0,29.1,4.6,1170,0.2064099999999997
2015,5,15,0.0,28.6,4.6,1170,0.19897000000000023
2015,5,16,0.0,28.5,7.1,1170,0.19744000000000014
2015,5,17,0.0,27.8,6.0,1170,0.18763415253790408
2015,5,18,0.0,26.4,8.3,1170,0.16600000000000026
2015,5,19,0.0,26.2,7.0,1170,0.16305649717487536
2015,5,20,0.0,26.7,5.0,1170,0.17065000000000022
2015,5,21,0.0,25.4,6.4,1170,0.15104519773990005
2015,5,22,0.0,25.4,5.9,1170,0.15104519773990005
2015,5,23,0.0,22.4,7.4,1170,0.10606799434975038
2015,5,24,0.0,23.1,5.2,1170,0.11650759886995025
2015,5,25,0.0,25.7,4.8,1170,0.15549999999999997
2015,5,26,0.0,25.6,5.0,1170,0.15401499999999993
2015,5,27,0.0,25.7,5.1,1170,0.15549999999999997
2015,5,28,0.0,25.6,4.1,1170,0.15399999999999994
2015,5,29,0.0,26.8,4.2,1170,0.17195500000000027
2015,5,30,0.0,26.5,4.7,1170,0.16754500000000033
2015,5,31,0.0,26.0,4.2,1170,0.16000000000000011
2015,6,1,0.0,24.0,4.5,1170,0.12986500000000023
2015,6,2,0.0,22.3,11.8,1170,0.10494999999999986
2015,6,3,0.4,20.1,10.3,1170,0.10112994349750494
2015,6,4,0.0,17.3,3.7,1170,0.10115254236745504
2015,6,5,0.0,18.1,1.7,1170,0.10115254236745504
2015,6,6,0.0,17.2,0.0,1170,0.10115254236745504
