StasName,Year,Month,Day,Rain,Tmax,Tmin,Latitude,Longitude,Height
HARTEBEESPOORT DAM,2015,1,1,2.0,29.2,17.3,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,22,0.6,34.6,17.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,23,0.2,33.6,16.1,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,24,0.0,34.3,19.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,25,0.6,36.3,19.0,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,26,0.4,33.8,19.6,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,27,2.0,34.7,21.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,28,1.6,25.0,19.6,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,29,1.0,31.9,17.3,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,30,0.0,31.6,19.3,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,1,31,1.2,32.8,19.9,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,1,1.2,34.5,19.0,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,2,0.2,33.7,18.5,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,3,0.0,35.4,13.2,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,4,2.0,36.6,16.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,5,0.0,36.0,16.7,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,6,0.0,36.9,15.9,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,7,0.6,37.1,13.3,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,8,0.2,35.7,16.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,9,4.0,35.6,17.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,10,4.6,37.5,18.0,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,11,1.0,38.5,19.4,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,12,0.4,33.9,21.0,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,13,7.8,35.0,19.1,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,14,0.0,34.0,17.9,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,15,0.0,32.9,13.6,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,16,17.2,30.9,18.8,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,17,0.0,29.8,15.6,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,18,0.0,33.2,17.5,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,19,0.0,34.5,15.6,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,20,0.0,36.0,18.3,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,21,0.0,30.7,18.2,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,22,0.0,35.1,17.7,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,23,0.0,31.8,19.5,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,24,5.4,32.7,16.9,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,25,0.2,30.3,15.8,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,27,0.0,30.5,18.1,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,2,28,0.0,29.8,16.1,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,3,1,5.6,31.1,15.7,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,3,2,0.0,27.0,15.9,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,3,3,0.0,28.4,15.9,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,3,4,0.0,31.7,12.1,-25.7,27.8,1170
HARTEBEESPOORT DAM,2015,3,5,0.0,34.5,13.1,-25.7,27.8,1170
